Vext,Jext,Gfrac
-1,-256,1
-0.99,-256,1
-0.98,-256,1
-0.97,-256,1
-0.96,-256,1
-0.95,-256,1
-0.94,-255,1
-0.93,-255,1
-0.92,-255,1
-0.91,-255,1
-0.9,-255,1
-0.89,-255,1
-0.88,-255,1
-0.87,-255,1
-0.86,-255,1
-0.85,-255,1
-0.84,-255,1
-0.83,-255,1
-0.82,-255,1
-0.81,-255,1
-0.8,-255,1
-0.79,-255,1
-0.78,-255,1
-0.77,-255,1
-0.76,-254,1
-0.75,-254,1
-0.74,-254,1
-0.73,-254,1
-0.72,-254,1
-0.71,-254,1
-0.7,-254,1
-0.69,-254,1
-0.68,-254,1
-0.67,-254,1
-0.66,-254,1
-0.65,-254,1
-0.64,-254,1
-0.63,-254,1
-0.62,-254,1
-0.61,-254,1
-0.6,-254,1
-0.59,-253,1
-0.58,-253,1
-0.57,-253,1
-0.56,-253,1
-0.55,-253,1
-0.54,-253,1
-0.53,-253,1
-0.52,-253,1
-0.51,-253,1
-0.5,-253,1
-0.49,-253,1
-0.48,-253,1
-0.47,-253,1
-0.46,-253,1
-0.45,-253,1
-0.44,-252,1
-0.43,-252,1
-0.42,-252,1
-0.41,-252,1
-0.4,-252,1
-0.39,-252,1
-0.38,-252,1
-0.37,-252,1
-0.36,-252,1
-0.35,-252,1
-0.34,-252,1
-0.33,-252,1
-0.32,-251,1
-0.31,-251,1
-0.3,-251,1
-0.29,-251,1
-0.28,-251,1
-0.27,-251,1
-0.26,-251,1
-0.25,-251,1
-0.24,-251,1
-0.23,-251,1
-0.22,-251,1
-0.21,-251,1
-0.2,-251,1
-0.19,-251,1
-0.18,-250,1
-0.17,-250,1
-0.16,-250,1
-0.15,-250,1
-0.14,-250,1
-0.13,-250,1
-0.12,-250,1
-0.11,-250,1
-0.1,-250,1
-0.09,-250,1
-0.08,-249,1
-0.07,-249,1
-0.06,-249,1
-0.05,-249,1
-0.04,-249,1
-0.03,-249,1
-0.02,-249,1
-0.01,-249,1
0,-249,1
0.01,-249,1
0.02,-248,1
0.03,-248,1
0.04,-248,1
0.05,-248,1
0.06,-248,1
0.07,-248,1
0.08,-248,1
0.09,-248,1
0.1,-247,1
0.11,-247,1
0.12,-247,1
0.13,-247,1
0.14,-247,1
0.15,-247,1
0.16,-247,1
0.17,-246,1
0.18,-246,1
0.19,-246,1
0.2,-246,1
0.21,-246,1
0.22,-246,1
0.23,-245,1
0.24,-245,1
0.25,-245,1
0.26,-245,1
0.27,-245,1
0.28,-245,1
0.29,-244,1
0.3,-244,1
0.31,-244,1
0.32,-244,1
0.33,-244,1
0.34,-243,1
0.35,-243,1
0.36,-243,1
0.37,-243,1
0.38,-243,1
0.39,-242,1
0.4,-242,1
0.41,-242,1
0.42,-242,1
0.43,-241,1
0.44,-241,1
0.45,-241,1
0.46,-240,1
0.47,-240,1
0.48,-240,1
0.49,-240,1
0.5,-239,1
0.51,-239,1
0.52,-239,1
0.53,-238,1
0.54,-238,1
0.55,-237,1
0.56,-237,1
0.57,-236,1
0.58,-236,1
0.59,-235,1
0.6,-234,1
0.61,-233,1
0.62,-232,1
0.63,-231,1
0.64,-230,1
0.65,-229,1
0.66,-227,1
0.67,-225,1
0.68,-223,1
0.69,-220,1
0.7,-217,1
0.71,-213,1
0.72,-208,1
0.73,-203,1
0.74,-196,1
0.75,-188,1
0.76,-178,1
0.77,-166,1
0.78,-151,1
0.79,-134,1
0.8,-113,1
0.81,-87.7,1
0.82,-58.1,1
0.83,-23.4,1
0.84,17,1
0.85,63.4,1
0.86,116,1
0.87,176,1
0.88,242,1
0.89,315,1
0.9,394,1
0.91,480,1
0.92,571,1
0.93,668,1
0.94,770,1
0.95,878,1
0.96,990,1
0.97,1110,1
0.98,1230,1
0.99,1350,1
1,1480,1
1.01,1610,1
1.02,1740,1
1.03,1880,1
1.04,2010,1
1.05,2160,1
1.06,2300,1
1.07,2440,1
1.08,2590,1
1.09,2740,1
1.1,2890,1
1.11,3040,1
1.12,3190,1
1.13,3350,1
1.14,3500,1
1.15,3660,1
1.16,3820,1
1.17,3970,1
1.18,4140,1
1.19,4300,1
1.2,4460,1
1.21,4620,1
1.22,4780,1
1.23,4950,1
1.24,5110,1
1.25,5280,1
-1,-129,0.5
-0.99,-129,0.5
-0.98,-129,0.5
-0.97,-129,0.5
-0.96,-129,0.5
-0.95,-129,0.5
-0.94,-129,0.5
-0.93,-129,0.5
-0.92,-129,0.5
-0.91,-129,0.5
-0.9,-129,0.5
-0.89,-129,0.5
-0.88,-129,0.5
-0.87,-129,0.5
-0.86,-129,0.5
-0.85,-129,0.5
-0.84,-129,0.5
-0.83,-129,0.5
-0.82,-129,0.5
-0.81,-129,0.5
-0.8,-128,0.5
-0.79,-129,0.5
-0.78,-129,0.5
-0.77,-128,0.5
-0.76,-128,0.5
-0.75,-128,0.5
-0.74,-128,0.5
-0.73,-128,0.5
-0.72,-128,0.5
-0.71,-128,0.5
-0.7,-128,0.5
-0.69,-128,0.5
-0.68,-128,0.5
-0.67,-128,0.5
-0.66,-128,0.5
-0.65,-128,0.5
-0.64,-128,0.5
-0.63,-128,0.5
-0.62,-128,0.5
-0.61,-128,0.5
-0.6,-128,0.5
-0.59,-128,0.5
-0.58,-128,0.5
-0.57,-128,0.5
-0.56,-128,0.5
-0.55,-128,0.5
-0.54,-128,0.5
-0.53,-128,0.5
-0.52,-128,0.5
-0.51,-128,0.5
-0.5,-127,0.5
-0.49,-127,0.5
-0.48,-127,0.5
-0.47,-127,0.5
-0.46,-127,0.5
-0.45,-127,0.5
-0.44,-127,0.5
-0.43,-127,0.5
-0.42,-127,0.5
-0.41,-127,0.5
-0.4,-127,0.5
-0.39,-127,0.5
-0.38,-127,0.5
-0.37,-127,0.5
-0.36,-127,0.5
-0.35,-127,0.5
-0.34,-127,0.5
-0.33,-127,0.5
-0.32,-127,0.5
-0.31,-127,0.5
-0.3,-127,0.5
-0.29,-127,0.5
-0.28,-127,0.5
-0.27,-127,0.5
-0.26,-127,0.5
-0.25,-127,0.5
-0.24,-127,0.5
-0.23,-127,0.5
-0.22,-127,0.5
-0.21,-127,0.5
-0.2,-126,0.5
-0.19,-126,0.5
-0.18,-126,0.5
-0.17,-126,0.5
-0.16,-126,0.5
-0.15,-126,0.5
-0.14,-126,0.5
-0.13,-126,0.5
-0.12,-126,0.5
-0.11,-126,0.5
-0.1,-126,0.5
-0.09,-126,0.5
-0.08,-126,0.5
-0.07,-126,0.5
-0.06,-126,0.5
-0.05,-126,0.5
-0.04,-126,0.5
-0.03,-126,0.5
-0.02,-126,0.5
-0.01,-126,0.5
0,-126,0.5
0.01,-125,0.5
0.02,-125,0.5
0.03,-125,0.5
0.04,-125,0.5
0.05,-125,0.5
0.06,-125,0.5
0.07,-125,0.5
0.08,-125,0.5
0.09,-125,0.5
0.1,-125,0.5
0.11,-125,0.5
0.12,-125,0.5
0.13,-125,0.5
0.14,-125,0.5
0.15,-125,0.5
0.16,-125,0.5
0.17,-124,0.5
0.18,-124,0.5
0.19,-124,0.5
0.2,-124,0.5
0.21,-124,0.5
0.22,-124,0.5
0.23,-124,0.5
0.24,-124,0.5
0.25,-124,0.5
0.26,-124,0.5
0.27,-124,0.5
0.28,-124,0.5
0.29,-124,0.5
0.3,-124,0.5
0.31,-124,0.5
0.32,-123,0.5
0.33,-123,0.5
0.34,-123,0.5
0.35,-123,0.5
0.36,-123,0.5
0.37,-123,0.5
0.38,-123,0.5
0.39,-123,0.5
0.4,-123,0.5
0.41,-122,0.5
0.42,-122,0.5
0.43,-122,0.5
0.44,-122,0.5
0.45,-122,0.5
0.46,-122,0.5
0.47,-122,0.5
0.48,-121,0.5
0.49,-121,0.5
0.5,-121,0.5
0.51,-121,0.5
0.52,-121,0.5
0.53,-121,0.5
0.54,-120,0.5
0.55,-120,0.5
0.56,-120,0.5
0.57,-120,0.5
0.58,-119,0.5
0.59,-119,0.5
0.6,-119,0.5
0.61,-118,0.5
0.62,-118,0.5
0.63,-117,0.5
0.64,-116,0.5
0.65,-116,0.5
0.66,-115,0.5
0.67,-114,0.5
0.68,-112,0.5
0.69,-111,0.5
0.7,-109,0.5
0.71,-107,0.5
0.72,-104,0.5
0.73,-100,0.5
0.74,-96,0.5
0.75,-90.6,0.5
0.76,-84,0.5
0.77,-75.7,0.5
0.78,-65.5,0.5
0.79,-52.9,0.5
0.8,-37.5,0.5
0.81,-18.6,0.5
0.82,4.19,0.5
0.83,31.7,0.5
0.84,64.3,0.5
0.85,103,0.5
0.86,147,0.5
0.87,198,0.5
0.88,256,0.5
0.89,321,0.5
0.9,392,0.5
0.91,470,0.5
0.92,554,0.5
0.93,645,0.5
0.94,741,0.5
0.95,842,0.5
0.96,948,0.5
0.97,1060,0.5
0.98,1170,0.5
0.99,1290,0.5
1,1420,0.5
1.01,1540,0.5
1.02,1670,0.5
1.03,1800,0.5
1.04,1940,0.5
